CurrentOpen,CurrentClose,CurrentAsk,Profit,closeReason,Action
1561.61,1561.94,1562.120000,-0.45000000,closeByStopLossNonProfitable,sell
1561.61,1561.94,1562.120000,-0.44000000,closeByStopLossNonProfitable,sell
1561.61,1561.94,1562.120000,-0.04000000,closeByStopLossNonProfitable,sell
1561.61,1561.94,1562.120000,-0.05000000,closeByStopLossNonProfitable,sell
1561.61,1561.94,1562.120000,0.24000000,closeByStopLossProfitable,sell
1561.61,1561.94,1562.120000,0.12000000,closeByStopLossProfitable,sell
1561.61,1561.94,1562.120000,0.05000000,closeByStopLossProfitable,sell
1561.61,1561.94,1562.120000,-0.24000000,closeByStopLossNonProfitable,sell
1561.61,1561.94,1562.120000,-1.02000000,closeByStopLossNonProfitable,sell
1561.87,1561.96,1562.140000,-0.31000000,closeByStopLossNonProfitable,sell
1561.88,1561.94,1562.120000,-0.20000000,closeByStopLossNonProfitable,sell
1561.88,1561.94,1562.120000,-0.23000000,closeByStopLossNonProfitable,sell
1561.88,1561.94,1562.120000,-0.24000000,closeByStopLossNonProfitable,sell
1561.97,1561.97,1562.120000,-0.08000000,closeByStopLossNonProfitable,sell
1561.97,1562.02,1562.170000,-0.20000000,closeByStopLossNonProfitable,sell
1562.01,1561.95,1562.120000,-0.18000000,closeByStopLossNonProfitable,sell
1561.87,1561.94,1562.130000,-0.24000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.21000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.34000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.47000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.40000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.61000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.73000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.78000000,closeByStopLossNonProfitable,sell
1561.75,1561.86,1562.060000,-0.78000000,closeByStopLossNonProfitable,sell
1561.84,1561.87,1562.060000,-0.07000000,closeByStopLossNonProfitable,sell
1561.84,1561.87,1562.060000,-0.02000000,closeByStopLossNonProfitable,sell
1561.76,1561.87,1562.090000,-0.22000000,closeByStopLossNonProfitable,sell
1561.76,1561.87,1562.090000,-0.32000000,closeByStopLossNonProfitable,sell
1561.76,1561.87,1562.090000,-0.35000000,closeByStopLossNonProfitable,sell
